title,description,assignee,state,milestone,labels
Describe CORE-V-MCU Event Interface UVM Agent Self-Test Bench",ip.yml,,open,,
Implement or remove uvmt_cvmcu_event_st_test_cfg_c::post_randomize_work(),uvmt_cvmcu_event_st_test_cfg.sv,,open,,
