IssueType,Issue ID,Parent ID,Status,Summary,Component,Description
task,0,,To Do,Describe CORE-V-MCU Camera Parallel Interface UVM Agent Self-Test Bench",uvmt_cvmcu_cpi_st,ip.yml,
task,1,,To Do,Implement or remove uvmt_cvmcu_cpi_st_test_cfg_c::post_randomize_work(),uvmt_cvmcu_cpi_st,uvmt_cvmcu_cpi_st_test_cfg.sv,
