Work Item Type,Title,Priority
Issue,Describe CORE-V-MCU Camera Parallel Interface UVM Agent Self-Test Bench",1
Issue,Implement or remove uvmt_cvmcu_cpi_st_test_cfg_c::post_randomize_work(),1
